step,td_loss,bc_loss,total_loss
150,0.021371,1.496791,1.518162
300,0.016797,1.04794,1.064738
450,0.010302,0.62984,0.640142
600,0.005119,0.400041,0.405159
750,0.009896,0.439569,0.449465
900,0.008721,0.472039,0.48076
1050,0.003723,0.236505,0.240228
1200,0.004436,0.327703,0.332139
1350,0.005919,0.210109,0.216028
1500,0.009432,0.34852,0.357952
1650,0.003159,0.243568,0.246727
1800,0.005378,0.343488,0.348866
1950,0.005294,0.235133,0.240427
2100,0.002516,0.322618,0.325134
2250,0.005929,0.269364,0.275292
2400,0.00347,0.150529,0.153999
2550,0.003182,0.218613,0.221795
2700,0.005007,0.149327,0.154334
2850,0.003566,0.227509,0.231075
3000,0.003205,0.170318,0.173523
3150,0.004358,0.102298,0.106656
3300,0.002857,0.084298,0.087155
3450,0.003191,0.109598,0.11279
3600,0.002788,0.101475,0.104263
3750,0.002175,0.108186,0.110361
3900,0.005266,0.051913,0.057179
4050,0.003331,0.074893,0.078224
4200,0.005393,0.055599,0.060993
4350,0.002776,0.081469,0.084245
4500,0.001219,0.107394,0.108613
4650,0.001631,0.07116,0.072791
4800,0.004331,0.063869,0.0682
4950,0.002105,0.134563,0.136668
5100,0.002205,0.099539,0.101744
5250,0.001534,0.09022,0.091755
5400,0.001227,0.083027,0.084254
5550,0.006155,0.067405,0.07356
5700,0.001999,0.036678,0.038678
5850,0.002371,0.072849,0.07522
6000,0.001785,0.032525,0.03431
6150,0.00428,0.053642,0.057922
6300,0.001031,0.065944,0.066975
6450,0.002773,0.036317,0.039091
6600,0.002306,0.104631,0.106937
6750,0.002014,0.026181,0.028195
6900,0.000862,0.024022,0.024884
7050,0.001506,0.030085,0.031591
7200,0.001164,0.140371,0.141535
7350,0.002755,0.045214,0.047969
7500,0.001922,0.065341,0.067264
7650,0.002545,0.048597,0.051142
7800,0.000961,0.060641,0.061602
7950,0.000981,0.044545,0.045526
8100,0.001418,0.030054,0.031472
8250,0.003094,0.037399,0.040493
8400,0.001161,0.064251,0.065412
8550,0.002236,0.048075,0.050311
8700,0.004542,0.044489,0.049031
8850,0.002235,0.044031,0.046266
9000,0.001799,0.030635,0.032433
9150,0.001462,0.025387,0.02685
9300,0.001993,0.090691,0.092685
9450,0.001479,0.026673,0.028152
9600,0.001648,0.020291,0.021939
9750,0.000956,0.009901,0.010857
9900,0.001617,0.028596,0.030213
10050,0.001378,0.030029,0.031406
10200,0.001897,0.025085,0.026982
10350,0.001575,0.012518,0.014093
10500,0.001473,0.03046,0.031933
10650,0.002232,0.023045,0.025278
10800,0.002158,0.032811,0.034968
10950,0.002708,0.016554,0.019262
11100,0.001309,0.03565,0.036959
11250,0.00319,0.023865,0.027054
11400,0.000913,0.016472,0.017384
11550,0.001697,0.020826,0.022523
11700,0.003834,0.015923,0.019758
11850,0.001431,0.015034,0.016464
12000,0.002785,0.016261,0.019046
12150,0.001568,0.010642,0.012209
12300,0.001518,0.009472,0.010989
12450,0.001276,0.01555,0.016826
12600,0.000869,0.01413,0.014998
12750,0.001528,0.009689,0.011217
12900,0.000901,0.005627,0.006528
13050,0.001856,0.038115,0.039971
13200,0.002064,0.005509,0.007573
13350,0.00147,0.011783,0.013253
13500,0.001192,0.002826,0.004018
13650,0.00176,0.003638,0.005397
13800,0.001175,0.023411,0.024586
13950,0.001481,0.004386,0.005867
14100,0.001178,0.004214,0.005392
14250,0.000791,0.007056,0.007846
14400,0.001024,0.010772,0.011796
14550,0.001255,0.004584,0.005839
14700,0.002254,0.003367,0.005621
14850,0.001237,0.013539,0.014775
15000,0.000813,0.00523,0.006042
