policy,pdis,weighted_pdis,mood_improvement,n_matched,match_rate,mean_behavior_support,pct_low_support,dr,dr_estimator,pdis_se,pdis_ci_low,pdis_ci_high,weighted_pdis_se,weighted_pdis_ci_low,weighted_pdis_ci_high,match_rate_se,match_rate_ci_low,match_rate_ci_high,dr_se,dr_ci_low,dr_ci_high,mood_improvement_se,mood_improvement_ci_low,mood_improvement_ci_high,action_none,action_increase_activity,action_decrease_activity,action_increase_sleep,action_decrease_sleep,action_increase_social,action_decrease_social
cql,-0.018651,-0.00405,0.115385,13,0.95082,0.778422,0.327869,-6.014113,sequential,0.029947,-0.061405,0.034596,0.012309,-0.029819,0.015142,0.015697,0.916452,0.973283,1.005011,-7.699048,-4.228089,0.262429,-0.398977,0.629746,0.380328,0.101639,0.108197,0.04918,0.039344,0.160656,0.160656
bcq,-0.004942,-0.004513,0.115385,13,0.84918,0.758211,1.639344,0.208427,sequential,0.02083,-0.042098,0.035764,0.011539,-0.025609,0.016138,0.019333,0.813154,0.882288,0.264949,-0.340836,0.549593,0.262429,-0.398977,0.629746,0.416393,0.101639,0.088525,0.052459,0.042623,0.160656,0.137705
contextual_bandit,0.016886,0.025965,,0,0.163934,0.180176,63.606557,0.121058,bandit_1step,0.014691,0.001076,0.05236,0.0366,-0.058826,0.074694,0.025452,0.114964,0.207422,,,,,,,0.357377,0.301639,0.016393,0.036066,0.160656,0.055738,0.072131
iql,0.00558,-0.00605,,0,0.121311,0.127073,75.737705,0.015271,sequential,0.014884,-0.012616,0.043699,0.035334,-0.062783,0.051826,0.014394,0.096604,0.148145,0.031179,-0.051623,0.067862,,,,0.190164,0.236066,0.07541,0.232787,0.088525,0.157377,0.019672
awac,0.005755,-0.006645,1.0,3,0.242623,0.251995,57.377049,0.044949,sequential,0.014889,-0.012391,0.043852,0.035478,-0.062794,0.05158,0.034503,0.180131,0.314432,0.040844,-0.024503,0.115051,0.481125,0.056995,1.943005,0.540984,0.032787,0.006557,0.262295,0.121311,0.032787,0.003279
behavior_cloning_logistic,-0.002665,-0.0028,0.142857,14,0.891803,0.811074,0.0,,none,0.008449,-0.017332,0.012918,0.009798,-0.023854,0.016245,0.022359,0.843915,0.926225,,,,0.244511,-0.336384,0.622098,0.44918,0.088525,0.098361,0.059016,0.039344,0.140984,0.12459
majority_action,0.000724,0.016827,0.8,5,0.4,0.398564,31.147541,,none,0.005023,-0.007744,0.010256,0.009465,-0.008446,0.029325,0.043803,0.314233,0.466935,,,,0.330824,0.151585,1.448415,1.0,0.0,0.0,0.0,0.0,0.0,0.0
action_frequency,0.003836,0.023941,,0,0.206557,0.212003,62.295082,,none,0.0019,0.000375,0.008308,0.008455,0.009126,0.040751,0.023485,0.18349,0.262221,,,,,,,0.35082,0.127869,0.147541,0.078689,0.078689,0.098361,0.118033
random_uniform,0.005778,-0.006676,0.583333,2,0.131148,0.126061,77.04918,,none,0.015141,-0.012625,0.044494,0.035245,-0.063074,0.051498,0.022634,0.153823,0.231445,,,,0.416667,-0.233333,1.4,0.134426,0.127869,0.121311,0.203279,0.140984,0.177049,0.095082
rule_based,0.011289,0.030212,-0.833333,1,0.04918,0.054983,89.836066,,none,0.011885,-0.000246,0.039444,0.042323,-0.054672,0.099959,0.014934,0.024643,0.081094,,,,,-0.833333,-0.833333,0.065574,0.081967,0.127869,0.157377,0.245902,0.170492,0.15082
